País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Afeganistão,0.19642857142857145,-395.2666666666667,y = 0.20x + -395.27
África do Sul,3.260714285714286,-6563.8,y = 3.26x + -6563.80
"Alemanha, República Democrática",-8612.428571428567,17405863.66666666,y = -8612.43x + 17405863.67
Angola,-2357.303571428572,4761867.133333335,y = -2357.30x + 4761867.13
Anguilla,0.0,0.0,y = 0.00x + 0.00
Antígua e Barbuda,44.45357142857142,-89452.59999999999,y = 44.45x + -89452.60
Antilhas Holandesas,-836.3607142857144,1691374.1333333335,y = -836.36x + 1691374.13
Arábia Saudita,3.1000000000000005,-6241.333333333335,y = 3.10x + -6241.33
Argentina,-135.5785714285714,277030.1999999999,y = -135.58x + 277030.20
Aruba,-19.285714285714285,38970.0,y = -19.29x + 38970.00
Austrália,-361.75357142857143,733189.3999999999,y = -361.75x + 733189.40
Áustria,0.12857142857142884,-213.80000000000055,y = 0.13x + -213.80
Bahamas,-68.89285714285714,139917.93333333332,y = -68.89x + 139917.93
Bangladesh,0.22857142857142856,-460.0,y = 0.23x + -460.00
Barbados,12.449999999999998,-25054.33333333333,y = 12.45x + -25054.33
Barein,38.724999999999994,-77932.66666666666,y = 38.72x + -77932.67
Bélgica,-5674.892857142859,11467199.933333337,y = -5674.89x + 11467199.93
Belice,0.09642857142857143,-193.8,y = 0.10x + -193.80
Benin,0.09642857142856462,142.20000000001374,y = 0.10x + 142.20
Bermudas,0.4,-805.3333333333334,y = 0.40x + -805.33
Bolívia,-64.12857142857146,144107.7333333334,y = -64.13x + 144107.73
Bósnia-Herzegovina,0.6428571428571428,-1292.9999999999998,y = 0.64x + -1293.00
Brasil,54.210714285714296,-109119.80000000002,y = 54.21x + -109119.80
Bulgária,0.5249999999999999,-1050.2666666666664,y = 0.52x + -1050.27
Cabo Verde,-267.25,539617.6666666666,y = -267.25x + 539617.67
Camarões,6.246428571428569,-12476.199999999995,y = 6.25x + -12476.20
Canadá,-1286.482142857143,2605953.4,y = -1286.48x + 2605953.40
Catar,47.77857142857143,-95432.0,y = 47.78x + -95432.00
"Cayman, Ilhas",18.33214285714286,-36900.06666666667,y = 18.33x + -36900.07
Chile,-34.37857142857141,70854.79999999997,y = -34.38x + 70854.80
China,-33330.417857142864,67365768.13333334,y = -33330.42x + 67365768.13
Chipre,123.41071428571429,-248307.4,y = 123.41x + -248307.40
Cingapura,-7.521428571428577,16918.80000000001,y = -7.52x + 16918.80
"Cocos (Keeling), Ilhas",0.5571428571428572,-1121.4666666666667,y = 0.56x + -1121.47
Colômbia,687.3107142857142,-1382662.6666666665,y = 687.31x + -1382662.67
Comores,0.1285714285714286,-258.6,y = 0.13x + -258.60
Congo,421.0714285714286,-847716.0000000001,y = 421.07x + -847716.00
"Coreia, Republica Sul",6.550000000000001,-13173.466666666667,y = 6.55x + -13173.47
Costa do Marfim,0.0,0.0,y = 0.00x + 0.00
Costa Rica,0.0,0.0,y = 0.00x + 0.00
